"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
4048	"RFCD321015"	100	"SEO730108"	100	16137	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration5to10"	1	11	4	6	2	0
4049	"RFCD270106"	100	"SEO730108"	100	30772	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2603"	"Faculty25"	""	"Duration5to10"	3	1	4	2	0	0
4050	NA	NA	NA	NA	77467	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2853"	"Faculty25"	""	"Duration10to15"	0	1	4	5	3	2
4051	NA	NA	NA	NA	79857	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"DurationGT15"	1	0	11	3	10	1
4052	"RFCD289999"	100	"SEO700299"	100	81592	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept4193"	"Faculty58"	""	"DurationGT15"	0	0	0	0	0	0
4053	NA	NA	NA	NA	70457	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2253"	"Faculty19"	""	"DurationLT0"	0	0	0	21	6	6
4054	"RFCD321006"	100	"SEO730113"	75	52602	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2853"	"Faculty25"	"Yes "	"Duration0to5"	0	1	6	5	3	1
4055	"RFCD290101"	100	"SEO670105"	100	12002	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept1038"	"Faculty1"	""	"DurationLT0"	0	0	0	1	1	6
4056	"RFCD280107"	30	"SEO700102"	50	39647	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2163"	"Faculty19"	"Yes "	"Duration0to5"	2	2	1	15	6	6
4057	NA	NA	NA	NA	76352	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration10to15"	1	0	5	8	1	1
4058	"RFCD250503"	100	"SEO670403"	100	7597	"CHIEF_INVESTIGATOR"	"1955"	"EasternEurope"	"English"	"Dept3048"	"Faculty31"	"Yes "	"Duration5to10"	2	0	10	8	13	10
4059	NA	NA	NA	NA	79857	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"DurationGT15"	1	0	11	3	10	1
4060	"RFCD321028"	100	"SEO730114"	100	86302	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	0	6	1	1	0	0
4061	NA	NA	NA	NA	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4062	"RFCD321004"	100	"SEO730105"	50	735967	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration0to5"	2	0	0	0	0	0
4063	"RFCD321202"	100	"SEO730101"	50	27317	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2853"	"Faculty25"	""	"Duration0to5"	1	0	2	4	0	2
4064	"RFCD320502"	100	"SEO730102"	100	9757	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration5to10"	0	0	11	8	2	3
4065	"RFCD270303"	100	"SEO730101"	100	29497	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	6	7	2	3
4066	"RFCD339999"	100	"SEO749999"	100	148102	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"Duration0to5"	2	0	1	16	12	2
4067	"RFCD230202"	100	"SEO710601"	100	31067	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept3098"	"Faculty31"	"Yes "	"Duration0to5"	0	0	4	4	3	3
4068	"RFCD321004"	100	"SEO730105"	50	735967	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	NA	"Dept2713"	"Faculty25"	"Yes "	"Duration0to5"	2	0	0	0	0	0
4069	NA	NA	NA	NA	322697	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4070	"RFCD321016"	90	"SEO730111"	100	132232	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"Duration0to5"	1	1	6	0	1	0
4071	NA	NA	NA	NA	79857	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"DurationGT15"	1	0	11	3	10	1
4072	"RFCD320402"	100	"SEO730101"	100	10477	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2628"	"Faculty25"	"Yes "	"Duration0to5"	1	0	5	5	1	3
4073	"RFCD320702"	100	"SEO730104"	100	4082	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2678"	"Faculty25"	"Yes "	"Duration10to15"	0	1	0	3	2	1
4074	NA	NA	NA	NA	79857	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"DurationGT15"	1	0	11	3	10	1
4075	NA	NA	NA	NA	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"DurationGT15"	4	7	42	55	18	4
4076	"RFCD290105"	100	"SEO670105"	100	18562	"PRINCIPAL_SUPERVISOR"	"1950"	"Australia"	"English"	"Dept1038"	"Faculty1"	""	"Duration0to5"	0	0	0	1	3	3
4077	NA	NA	NA	NA	77832	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept28"	"Faculty79"	"Yes "	"Duration5to10"	1	0	12	5	2	2
4078	NA	NA	NA	NA	89467	"PRINCIPAL_SUPERVISOR"	"1960"	"NewZealand"	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	2	2	8	2	2	0
4079	NA	NA	NA	NA	639457	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept3048"	"Faculty31"	""	"DurationUnk"	0	0	6	1	0	0
4080	"RFCD290101"	100	"SEO670105"	100	12002	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept1038"	"Faculty1"	""	"DurationLT0"	0	0	0	1	1	6
4081	"RFCD320502"	100	"SEO730110"	100	498427	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration0to5"	2	6	1	7	5	0
4082	NA	NA	NA	NA	659757	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration0to5"	0	3	9	2	1	0
4083	"RFCD321016"	100	"SEO730105"	100	NA	"Unk"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4084	"RFCD290101"	100	"SEO670105"	100	12002	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept1038"	"Faculty1"	""	"DurationLT0"	0	0	0	1	1	6
4085	NA	NA	NA	NA	79857	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"DurationGT15"	1	0	11	3	10	1
4086	"RFCD320202"	100	"SEO730102"	100	93007	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2628"	"Faculty25"	""	"DurationLT0"	3	2	6	6	0	0
4087	"RFCD280105"	80	"SEO700199"	100	115417	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"OtherLang"	"Dept2253"	"Faculty19"	"Yes "	"Duration0to5"	0	5	0	5	4	0
4088	"RFCD280210"	100	"SEO610101"	80	139852	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4089	"RFCD360299"	40	"SEO730299"	50	636972	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4090	"RFCD321024"	20	"SEO730303"	20	80057	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	"Dept3073"	"Faculty31"	"Yes "	"DurationGT15"	0	2	0	0	1	2
4091	"RFCD330109"	100	"SEO740102"	100	10987	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationLT0"	0	0	0	0	1	0
4092	"RFCD280210"	100	"SEO610101"	80	139852	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4093	"RFCD310101"	40	"SEO680201"	40	5927	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3508"	"Faculty4"	"Yes "	"Duration5to10"	0	1	0	0	0	1
4094	"RFCD321199"	100	"SEO730199"	100	47057	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2568"	"Faculty25"	"Yes "	"Duration0to5"	2	3	2	0	1	5
4095	NA	NA	NA	NA	610882	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2973"	"Faculty25"	""	"DurationLT0"	0	0	1	2	3	1
4096	"RFCD321207"	40	"SEO730206"	100	39832	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"Duration0to5"	0	0	0	0	0	0
4097	"RFCD270202"	75	"SEO670602"	75	80372	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3258"	"Faculty31"	"Yes "	"DurationGT15"	0	1	6	3	5	0
4098	"RFCD321105"	50	"SEO740301"	100	17622	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2568"	"Faculty25"	""	"DurationUnk"	0	2	5	21	12	12
4099	"RFCD310199"	100	"SEO680299"	100	870077	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept3508"	"Faculty4"	"Yes "	"DurationLT0"	0	0	2	1	1	0
4100	"RFCD240204"	50	"SEO780102"	70	72267	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1998"	"Faculty19"	"Yes "	"Duration10to15"	6	0	13	13	13	6
4101	"RFCD321021"	100	"SEO730211"	100	610882	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2973"	"Faculty25"	""	"DurationLT0"	0	0	1	2	3	1
4102	"RFCD230117"	100	"SEO780101"	100	1617	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3098"	"Faculty31"	""	"DurationLT0"	0	0	0	3	3	1
4103	"RFCD420304"	20	"SEO729901"	50	68252	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	"English"	"Dept528"	"Faculty7"	"Yes "	"Duration10to15"	0	3	1	2	1	1
4104	"RFCD320502"	100	"SEO730106"	100	78962	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2668"	"Faculty25"	""	"DurationLT0"	2	4	3	2	7	1
4105	"RFCD370502"	50	"SEO750102"	30	76307	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	"Dept2498"	"Faculty25"	"Yes "	"Duration5to10"	0	2	1	2	0	6
4106	"RFCD309902"	100	"SEO740301"	100	56097	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept1258"	"Faculty34"	""	"DurationUnk"	0	0	0	0	0	0
4107	NA	NA	NA	NA	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"DurationGT15"	4	7	42	55	18	4
4108	"RFCD291804"	50	"SEO780102"	40	82892	"CHIEF_INVESTIGATOR"	"1970"	"WesternEurope"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration0to5"	2	0	92	7	5	2
4109	"RFCD300604"	100	"SEO770702"	100	491307	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept1098"	"Faculty1"	""	"DurationUnk"	0	0	0	0	0	0
4110	"RFCD339999"	100	"SEO740301"	100	41012	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationLT0"	0	0	0	0	2	0
4111	"RFCD240204"	50	"SEO780102"	70	135457	"CHIEF_INVESTIGATOR"	"1975"	"WesternEurope"	NA	"Dept3198"	"Faculty31"	""	"DurationLT0"	0	0	2	0	14	2
4112	"RFCD320801"	50	"SEO730112"	50	71402	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration0to5"	0	1	1	6	6	1
4113	"RFCD321010"	50	"SEO730101"	50	64347	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2893"	"Faculty25"	""	"DurationGT15"	1	3	5	18	25	18
4114	"RFCD321204"	50	"SEO730204"	40	70322	"CHIEF_INVESTIGATOR"	"1945"	"EasternEurope"	NA	"Dept2298"	"Faculty46"	"Yes "	"DurationGT15"	1	3	0	0	7	6
4115	"RFCD320703"	50	"SEO730104"	100	114842	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration0to5"	1	2	3	1	1	0
4116	"RFCD321204"	50	"SEO730211"	100	342122	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2543"	"Faculty25"	"Yes "	"Duration0to5"	3	2	0	3	18	3
4117	"RFCD320202"	50	"SEO730108"	50	47442	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept2628"	"Faculty25"	""	"DurationUnk"	1	0	0	0	0	0
4118	"RFCD380109"	35	"SEO780107"	35	4492	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration5to10"	1	0	2	3	3	3
4119	"RFCD380107"	100	"SEO750307"	40	28797	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration0to5"	4	4	0	0	0	1
4120	"RFCD291804"	40	"SEO671401"	40	547	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration10to15"	0	0	8	23	3	0
4121	"RFCD290699"	60	"SEO771102"	100	75377	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"DurationGT15"	7	2	19	7	12	14
4122	"RFCD270106"	70	"SEO730108"	100	20927	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"Duration5to10"	0	1	0	2	4	0
4123	"RFCD320701"	100	"SEO730104"	100	71867	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2578"	"Faculty25"	"Yes "	"DurationGT15"	3	2	7	21	31	15
4124	"RFCD270899"	40	"SEO740301"	50	123092	"CHIEF_INVESTIGATOR"	"1970"	"WesternEurope"	NA	"Dept3028"	"Faculty31"	"Yes "	"Duration0to5"	0	0	13	6	3	0
4125	"RFCD270103"	50	"SEO730106"	40	79062	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"Duration5to10"	0	2	32	20	9	1
4126	"RFCD260109"	70	"SEO780104"	80	1012	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	"English"	"Dept3123"	"Faculty31"	"Yes "	"Duration5to10"	1	0	10	1	12	0
4127	"RFCD250105"	50	"SEO780103"	100	72432	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept3048"	"Faculty31"	""	"DurationLT0"	1	0	9	1	4	1
4128	"RFCD270708"	40	"SEO770306"	40	68472	"PRINCIPAL_SUPERVISOR"	"1955"	"Australia"	NA	"Dept1033"	"Faculty1"	""	"DurationLT0"	1	1	0	7	9	0
4129	"RFCD430101"	40	"SEO700201"	40	6077	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	"English"	"Dept4188"	"Faculty64"	""	"DurationGT15"	0	0	0	2	1	0
4130	"RFCD240101"	70	"SEO780102"	100	72447	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3198"	"Faculty31"	"Yes "	"Duration10to15"	3	2	5	22	4	0
4131	"RFCD300201"	70	"SEO620101"	50	66092	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept1033"	"Faculty1"	"Yes "	"Duration10to15"	1	2	4	9	3	4
4132	"RFCD291804"	60	"SEO671201"	40	547	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2053"	"Faculty19"	"Yes "	"Duration10to15"	0	0	8	23	3	0
4133	"RFCD240203"	50	"SEO780102"	50	32052	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	"Dept3198"	"Faculty31"	""	"DurationLT0"	1	1	6	5	5	3
4134	"RFCD240302"	80	"SEO780102"	100	80322	"CHIEF_INVESTIGATOR"	"1940"	NA	NA	NA	NA	""	"DurationUnk"	0	0	45	5	3	1
4135	"RFCD240199"	40	"SEO780102"	100	32522	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3198"	"Faculty31"	"Yes "	"Duration0to5"	1	4	5	3	2	0
4136	"RFCD321016"	50	"SEO730111"	50	28387	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3273"	"Faculty31"	"Yes "	"Duration5to10"	0	1	3	1	4	3
4137	"RFCD310199"	40	"SEO680299"	40	11552	"CHIEF_INVESTIGATOR"	"1955"	"AsiaPacific"	NA	"Dept3508"	"Faculty4"	"Yes "	"Duration5to10"	2	1	1	6	0	0
4138	"RFCD299902"	40	"SEO680399"	40	77637	"CHIEF_INVESTIGATOR"	"1970"	"AsiaPacific"	NA	"Dept2178"	"Faculty19"	"Yes "	"Duration5to10"	0	0	5	3	3	1
4139	"RFCD280104"	70	"SEO700102"	100	27352	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	"English"	"Dept3073"	"Faculty31"	"Yes "	"Duration5to10"	1	1	0	1	10	2
4140	"RFCD321214"	50	"SEO730304"	60	22097	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2848"	"Faculty25"	""	"DurationLT0"	1	0	0	0	0	0
4141	"RFCD280213"	80	"SEO700299"	80	80057	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	"Dept3073"	"Faculty31"	"Yes "	"DurationGT15"	0	2	0	0	1	2
4142	"RFCD280104"	70	"SEO700102"	100	27352	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	"English"	"Dept3073"	"Faculty31"	"Yes "	"Duration5to10"	1	1	0	1	10	2
4143	"RFCD240204"	70	"SEO780102"	100	23927	"CHIEF_INVESTIGATOR"	"1980"	"Australia"	NA	"Dept3198"	"Faculty31"	""	"DurationUnk"	0	1	3	5	1	0
4144	"RFCD380199"	100	"SEO700199"	100	63542	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2558"	"Faculty25"	""	"DurationLT0"	0	0	0	1	3	0
4145	"RFCD280104"	40	"SEO700199"	100	77887	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept3073"	"Faculty31"	"Yes "	"Duration5to10"	0	1	0	1	0	3
4146	"RFCD410303"	40	"SEO751003"	40	874432	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	"Dept3748"	NA	""	"DurationUnk"	0	0	0	0	0	0
4147	"RFCD321204"	50	"SEO750202"	50	82022	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept3508"	"Faculty4"	""	"Duration10to15"	0	2	0	0	1	0
4148	"RFCD380106"	100	"SEO740101"	100	70767	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"DurationGT15"	0	1	1	1	3	0
4149	"RFCD321299"	100	"SEO730299"	100	79652	"CHIEF_INVESTIGATOR"	"1950"	"AsiaPacific"	NA	"Dept2498"	"Faculty25"	"Yes "	"DurationGT15"	0	1	1	3	5	6
4150	"RFCD380107"	100	"SEO750307"	40	28797	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration0to5"	4	5	0	0	0	1
4151	NA	NA	NA	NA	73017	"CHIEF_INVESTIGATOR"	"1960"	"TheAmericas"	NA	"Dept2103"	"Faculty19"	"Yes "	"Duration10to15"	1	4	5	1	3	3
4152	"RFCD270103"	50	"SEO730108"	100	16642	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2763"	"Faculty25"	"Yes "	"Duration0to5"	0	3	4	2	1	0
4153	"RFCD320801"	100	"SEO730112"	100	330592	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2553"	"Faculty25"	"Yes "	"Duration0to5"	3	1	0	2	0	0
4154	"RFCD380103"	100	"SEO730104"	50	720302	"CHIEF_INVESTIGATOR"	"1980"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4155	NA	NA	NA	NA	871907	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2538"	"Faculty25"	""	"Duration0to5"	1	0	2	0	0	0
4156	"RFCD321004"	50	"SEO730105"	50	94102	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"DurationLT0"	1	0	0	2	0	0
4157	"RFCD380107"	100	"SEO750307"	40	28797	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2768"	"Faculty25"	"Yes "	"Duration0to5"	4	6	0	0	0	1
4158	"RFCD330202"	100	"SEO740201"	50	20342	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2298"	"Faculty46"	""	"Duration5to10"	0	0	0	1	0	0
4159	"RFCD321207"	100	"SEO730206"	100	123132	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	"Dept2523"	"Faculty25"	""	"Duration0to5"	0	0	0	1	0	0
4160	"RFCD370603"	60	"SEO730205"	50	113607	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	"Dept603"	"Faculty7"	""	"Duration0to5"	0	0	0	1	0	3
4161	NA	NA	NA	NA	68437	"CHIEF_INVESTIGATOR"	"1950"	"TheAmericas"	NA	"Dept2103"	"Faculty19"	"Yes "	"DurationGT15"	0	1	3	3	4	14
4162	"RFCD320502"	100	"SEO730106"	100	66657	"PRINCIPAL_SUPERVISOR"	"1965"	"Australia"	NA	"Dept2668"	"Faculty25"	""	"Duration0to5"	0	0	11	6	2	1
4163	"RFCD320702"	50	"SEO730106"	40	115407	"PRINCIPAL_SUPERVISOR"	"1970"	"AsiaPacific"	NA	"Dept2878"	"Faculty25"	"Yes "	"Duration0to5"	0	1	45	8	34	15
4164	"RFCD320702"	100	"SEO730104"	100	73882	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	"Dept2713"	"Faculty25"	""	"DurationLT0"	2	2	5	7	4	1
4165	"RFCD320502"	100	"SEO730102"	50	74822	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration10to15"	4	2	5	0	2	0
4166	"RFCD270599"	100	"SEO780105"	100	63962	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept1258"	"Faculty34"	"Yes "	"DurationGT15"	2	0	1	16	8	4
4167	"RFCD320603"	50	"SEO730110"	70	589572	"CHIEF_INVESTIGATOR"	"1975"	NA	NA	"Dept2678"	"Faculty25"	""	"DurationUnk"	1	1	0	0	1	1
4168	"RFCD321006"	40	"SEO730113"	50	78827	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2498"	"Faculty25"	"Yes "	"DurationGT15"	1	1	4	13	6	2
4169	"RFCD270299"	100	"SEO730199"	100	74077	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	1	14	4	1	4
4170	"RFCD270108"	60	"SEO730101"	50	111122	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept3048"	"Faculty31"	"Yes "	"Duration0to5"	2	1	4	5	5	0
4171	NA	NA	NA	NA	79227	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	"Dept2768"	"Faculty25"	""	"DurationLT0"	0	0	5	21	19	2
4172	"RFCD300899"	20	"SEO720199"	20	178232	"CHIEF_INVESTIGATOR"	"1945"	"GreatBritain"	NA	"Dept998"	"Faculty1"	"Yes "	"Duration0to5"	0	3	0	0	0	0
4173	"RFCD320502"	100	"SEO730102"	100	74822	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2668"	"Faculty25"	"Yes "	"Duration10to15"	4	2	5	0	2	0
4174	"RFCD270299"	100	"SEO730107"	100	64777	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2813"	"Faculty25"	""	"DurationGT15"	1	8	2	11	9	5
4175	"RFCD321299"	100	"SEO730299"	100	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"DurationGT15"	5	7	42	55	18	4
4176	NA	NA	NA	NA	5672	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2768"	"Faculty25"	""	"Duration0to5"	0	0	0	0	3	0
4177	"RFCD321004"	50	"SEO730105"	100	74162	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept2813"	"Faculty25"	"Yes "	"Duration5to10"	2	6	12	23	8	7
4178	"RFCD320305"	50	"SEO730108"	100	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4179	"RFCD350211"	100	"SEO729901"	100	119982	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	"Dept1678"	"Faculty13"	"Yes "	"Duration0to5"	0	0	1	1	2	0
4180	"RFCD321013"	50	"SEO730104"	50	67037	"CHIEF_INVESTIGATOR"	"1950"	"EasternEurope"	NA	"Dept2563"	"Faculty25"	"Yes "	"Duration10to15"	3	9	3	5	15	3
4181	"RFCD321202"	40	"SEO730108"	100	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2523"	"Faculty25"	"Yes "	"DurationGT15"	5	7	42	55	18	4
4182	"RFCD321204"	100	"SEO730211"	100	301472	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	"Dept2533"	"Faculty25"	"Yes "	"Duration0to5"	5	2	9	37	40	10
4183	"RFCD380107"	100	"SEO730211"	100	11342	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	"Dept2558"	"Faculty25"	"Yes "	"Duration0to5"	0	5	1	1	2	2
4184	NA	NA	NA	NA	638122	"CHIEF_INVESTIGATOR"	"1970"	NA	NA	"Dept4193"	"Faculty58"	""	"Duration0to5"	0	0	0	0	0	0
4185	"RFCD270199"	100	"SEO730118"	100	755517	"CHIEF_INVESTIGATOR"	"1975"	"WesternEurope"	"OtherLang"	"Dept2538"	"Faculty25"	"Yes "	"Duration0to5"	1	0	3	2	1	0
4186	"RFCD270707"	60	"SEO780105"	100	775597	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	NA	NA	NA	"Yes "	"DurationUnk"	0	0	5	5	5	1
4187	"RFCD321011"	100	"SEO730115"	100	18237	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	"Dept2713"	"Faculty25"	""	"DurationGT15"	0	0	17	19	12	9
